calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
218.0,10 mins,"1. Whisk flour, cinnamon, baking soda, and salt together in a medium bowl until well combined. 2. Beat butter, 1 cup white sugar, and brown sugar in a large bowl with an electric mixer until creamy, at least 2 to 3 minutes. Beat in eggs, one at a time, then mix in vanilla. Gradually mix in dry ingredients until well combined. Add oats and mix until thoroughly incorporated. Cover the bowl and chill dough in the refrigerator for at least 1 hour. 3. When ready to bake, preheat the oven to 375 degrees F (190 degrees C). Spray two cookie sheets with floured cooking spray. Place water in a small bowl and 2 tablespoons sugar in another small bowl. 4. Roll chilled dough into walnut-sized balls, and place 2 inches apart on the prepared cookie sheets. Dip a large fork in water, then in sugar, and use to flatten each cookie, rewetting and resugaring as necessary. 5. Bake in the preheated oven until light golden brown around the edges and centers are nearly set, 8 to 10 minutes, switching racks halfway through. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely.","2 cups all-purpose flour, 1 ½ teaspoons ground cinnamon, 1 teaspoon baking soda, 1 teaspoon salt, 1 cup unsalted butter, softened, 1 cup white sugar, 1 cup packed brown sugar, 2 large eggs, 1 teaspoon vanilla extract, 3 cups quick cooking oats, nonstick cooking spray with flour, 2 tablespoons water, 2 tablespoons white sugar, or as needed",Soft Oatmeal Cookies,15 mins,4.5,1 hr 30 mins,https://www.allrecipes.com/recipe/19247/soft-oatmeal-cookies/,"['flour', 'cinnamon', 'soda', 'salt', 'butter', 'sugar', 'sugar', 'egg', 'vanilla', 'oat', 'flour', 'water', 'sugar']",non-veg,"['flour', 'cinnamon', 'soda', 'salt', 'butter', 'sugar', 'sugar', 'egg', 'vanilla', 'oat', 'flour', 'water', 'sugar']"
767.0,30 mins,"1. Preheat the oven to 350 degrees F (175 degrees C). Grease two 9-inch round cake pans and line the bottoms with parchment paper. 2. Whisk together flour, baking powder, salt, and nutmeg in a bowl until well combined. 3. Cream together white sugar and butter in a large bowl with an electric mixer on medium-high speed until light and fluffy, about 3 minutes. Add in egg yolks and beat until incorporated. Add in whole eggs, 1 at a time, beating well after each addition. Beat mixture on medium-high speed until very fluffy, and mixture has lightened in color, 3 to 5 minutes more. 4. Slice vanilla bean in half lengthwise. Use the back of a knife to scrape seeds out of both halves, and add seeds to the butter mixture. Set vanilla bean pod aside to use for the frosting. Mix vanilla bean seeds into the butter mixture on low speed until incorporated. 5. Add vanilla and almond extracts to the batter and mix on low speed until incorporated. Pour in half of the dry ingredients and mix until combined. Add milk and sour cream and mix until combined. Pour in remaining dry ingredients and mix until just combined. Divide batter evenly between the cake pans and smooth into even layers. 6. Place pans into the preheated oven and bake until centers of the cakes spring back lightly when touched, 30 to 35 minutes. Remove from oven and allow cakes to cool in pans for 15 minutes before running a knife carefully around the edges of the pans to loosen. Transfer cakes to a wire rack to cool completely. 7. While cakes are in the oven, begin making the frosting. Add reserved vanilla bean pod to a small saucepan and pour in heavy cream. Place pan over low heat and cook until mixture is just warm, about 5 minutes. Remove pan from heat and allow mixture to sit at room temperature for about 30 minutes before placing into the refrigerator until chilled, about 30 minutes more. 8. When heavy cream mixture is chilled, finish the frosting. Place 1 cup butter into a large bowl and beat on high speed until smooth and creamy, about 3 minutes. Mix in powdered sugar gradually, 1 cup at a time, mixing well after each addition. 9. Remove vanilla bean pod from chilled heavy cream. Discard vanilla bean pod. Pour heavy cream into the butter-powdered sugar mixture. Add in vanilla extract and salt. Beat mixture on low speed until cream is incorporated, then turn mixer speed up to medium-high and continue to beat until frosting is light and fluffy, about 3 to 5 minutes more. 10. Pipe a layer of frosting to the top of one of the cakes and set 2nd cake on top. Frost cake as desired with remaining frosting.","2 cups all-purpose flour, 2 teaspoons baking powder, ¾ teaspoon salt, ⅛ teaspoon ground nutmeg, 1 ¼ cups white sugar, ¾ cup unsalted butter, softened, 3 large egg yolks, at room temperature, 2 large eggs, at room temperature, 1 (7 inch) vanilla bean, 2 teaspoons pure vanilla extract, ¼ teaspoon almond extract, ¾ cup whole milk, at room temperature, ½ cup sour cream, at room temperature, ⅓ cup heavy cream, 1 cup unsalted butter, softened, 4 cups sifted powdered sugar, 1 teaspoon vanilla extract, ⅛ teaspoon salt",French Vanilla Cake with French Vanilla Buttercream Frosting,1 hr,5.0,2 hrs 30 mins,https://www.allrecipes.com/recipe/8386501/french-vanilla-cake-with-french-vanilla-buttercream-frosting/,"['flour', 'salt', 'nutmeg', 'sugar', 'butter', 'egg', 'egg', 'vanilla', 'bean', 'vanilla', 'almond', 'milk', 'cream', 'cream', 'butter', 'sugar', 'vanilla', 'salt']",non-veg,"['flour', 'salt', 'nutmeg', 'sugar', 'butter', 'egg', 'egg', 'vanilla', 'bean', 'vanilla', 'almond', 'milk', 'cream', 'cream', 'butter', 'sugar', 'vanilla', 'salt']"
244.0,10 mins,"1. Preheat a grill for medium heat. 2. Place peaches onto a large piece of aluminum foil. Use two if necessary to hold in all of the peaches without spillage. Drizzle the honey over the peaches, and sprinkle with cinnamon. Close up the foil, sealing tightly. 3. Place the foil packet onto the preheated grill, and cook for 10 minutes, turning once halfway through. Carefully open the packet, and serve.","1 (16 ounce) package frozen peach slices, ½ cup honey, 2 tablespoons cinnamon",Sweet Grilled Peaches,5 mins,4.5,15 mins,https://www.allrecipes.com/recipe/86443/sweet-grilled-peaches/,"['peach', 'honey', 'cinnamon']",veg,"['peach', 'honey', 'cinnamon']"
153.0,50 mins,"1. Place an oven rack into middle position in oven and preheat oven to 350 degrees F (175 degrees C). Lightly oil an 8x8-inch baking dish. 2. Place 1 cup flour and butter in a mixing bowl and mash with the back of a spatula or wooden spoon until thoroughly combined. Mix in 1/4 cup confectioners' sugar, vanilla extract, and salt; mash mixture together until mixture looks like a slightly crumbly cookie dough. 3. Moisten your fingers with a little water and press dough into bottom of prepared baking dish. Use a fork to prick holes all over the crust. 4. Bake crust on center rack in the preheated oven until crust edges are barely golden brown, 22 minutes. 5. Beat eggs and egg yolks together in a bowl; whisk in white sugar and 2 tablespoons flour until smooth. Add lemon juice and lemon zest; whisk for 2 minutes. Pour lemon custard over crust. 6. Bake on center rack until custard is set and top has a thin white sugary crust, 25 minutes. Let cool completely before cutting into bars. Dip knife into very hot water, run around the edge, and cut into 16 squares. Dust cookies with 1 teaspoon confectioners' sugar.","1 cup all-purpose flour, ½ cup unsalted butter at room temperature, ¼ cup confectioners' sugar, ¼ teaspoon vanilla extract, ¼ teaspoon salt, 2 large eggs, 1 large egg yolk, 1 cup white sugar, 2 tablespoons all-purpose flour, ¼ cup freshly squeezed lemon juice, 1 tablespoon freshly grated lemon zest, 1 teaspoon confectioners' sugar, or to taste",Chef John's Lemon Bars,20 mins,5.0,1 hr 40 mins,https://www.allrecipes.com/recipe/232799/chef-johns-lemon-bars/,"['flour', 'butter', 'sugar', 'vanilla', 'salt', 'egg', 'egg', 'sugar', 'flour', 'lemon', 'lemon', 'sugar']",non-veg,"['flour', 'butter', 'sugar', 'vanilla', 'salt', 'egg', 'egg', 'sugar', 'flour', 'lemon', 'lemon', 'sugar']"
179.0,45 mins,"1. Preheat the oven to 375 degrees F (190 degrees C). Grease a 9-inch baking dish with butter. 2. Add blackberries to the prepared baking dish. 3. Stir milk and eggs together in a bowl. Whisk in flour, sugar, and salt and mix until batter is smooth. Pour batter over blackberries. 4. Bake in the preheated oven on the middle rack until eggs start to set, about 25 minutes. Sprinkle brown sugar on top and bake until golden brown, about 20 more minutes.","1 teaspoon butter, or as needed, 1 (6 ounce) container fresh blackberries, or more to taste, ⅞ cup milk, 2 eggs, ¾ cup all-purpose flour, 7 tablespoons white sugar, 1 pinch salt, 1 tablespoon brown sugar, or more to taste",Blackberry Clafoutis,10 mins,4.5,55 mins,https://www.allrecipes.com/recipe/267910/blackberry-clafoutis/,"['butter', 'blackberry', 'milk', 'egg', 'flour', 'sugar', 'salt', 'sugar']",non-veg,"['butter', 'blackberry', 'milk', 'egg', 'flour', 'sugar', 'salt', 'sugar']"
182.0,,"1. Place peaches in a large bowl, and gently toss with lemon juice. Place 1 cup of peaches in a blender, set aside remaining slices, and blend until smooth. Place yogurt into a bowl; stir in the peach puree and lemon zest until well blended. 2. Cut the angel food cake into squares and place half in the bottom of a glass dish. Spoon half of the peach slices over the cake. Cover with half of the yogurt mixture. Place remaining cake squares over the yogurt. Top with peaches, reserving 5 or 6 slices for garnish. Cover with remaining yogurt mixture. Garnish with peach slices. Refrigerate until ready to serve.","6 large ripe peaches - peeled, pitted and sliced, 1 tablespoon fresh lemon juice, 2 (8 ounce) containers vanilla yogurt, 1 teaspoon lemon zest, 1 (10 inch) prepared angel food cake",Fresh Peach Trifle,35 mins,4.5,35 mins,https://www.allrecipes.com/recipe/143868/fresh-peach-trifle/,"['peach', 'lemon', 'vanilla', 'yogurt', 'lemon']",veg,"['peach', 'lemon', 'vanilla', 'yogurt', 'lemon']"
222.0,10 mins,"1. Preheat oven to 350 degrees F (175 degrees C). 2. Beat peanut butter, white sugar, and brown sugar together in a large bowl with an electric mixer until smooth. Stir egg, vanilla extract, and baking soda into peanut butter mixture; stir in chocolate chips. 3. Drop mixture by small rounded spoonfuls onto a baking sheet about 2 inches apart. 4. Bake in the preheated oven until cookies are flattened and golden, about 8 minutes.","1 cup peanut butter, ½ cup white sugar, ⅓ cup packed brown sugar, 1 egg, 1 teaspoon vanilla extract, ½ teaspoon baking soda, ½ cup semisweet chocolate chips (Optional)","Easy, Chewy Flourless Peanut Butter Cookies",10 mins,4.5,20 mins,https://www.allrecipes.com/recipe/242366/easy-chewy-flourless-peanut-butter-cookies/,"['peanut', 'butter', 'sugar', 'sugar', 'egg', 'vanilla', 'soda', 'chocolate', 'chip']",non-veg,"['peanut', 'butter', 'sugar', 'sugar', 'egg', 'vanilla', 'soda', 'chocolate', 'chip']"
318.0,45 mins,"1. Preheat the oven to 375 degrees F (190 degrees C). Grease a 9x13 inch pan. 2. In a medium bowl, stir together 1 cup sugar, 3 cups flour, and baking powder. Mix in salt and cinnamon, if desired. Use a fork or pastry cutter to blend in the shortening and egg. Dough will be crumbly. Pat half of dough into the prepared pan. 3. In another bowl, stir together the sugar and cornstarch. Gently mix in the blueberries. Sprinkle the blueberry mixture evenly over the crust. Crumble remaining dough over the berry layer. 4. Bake in preheated oven for 45 minutes, or until top is slightly brown. Cool completely before cutting into squares.","1 cup white sugar, 1 teaspoon baking powder, 3 cups all-purpose flour, 1 cup shortening, 1 egg, ¼ teaspoon salt (Optional), 1 pinch ground cinnamon (Optional), 4 cups fresh blueberries, ½ cup white sugar, 3 teaspoons cornstarch",Blueberry Crumb Bars,15 mins,4.5,1 hr,https://www.allrecipes.com/recipe/10462/blueberry-crumb-bars/,"['sugar', 'flour', 'shortening', 'egg', 'salt', 'cinnamon', 'blueberry', 'sugar', 'cornstarch']",non-veg,"['sugar', 'flour', 'shortening', 'egg', 'salt', 'cinnamon', 'blueberry', 'sugar', 'cornstarch']"
248.0,35 mins,"1. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish. 2. Combine sugar, melted butter, and vanilla in a large bowl. Beat in eggs, one at a time, mixing well after each addition, until thoroughly blended. 3. Sift flour, cocoa powder, and salt into a separate large bowl. Gradually stir flour mixture into egg mixture until blended; stir in chocolate chips. Spread batter evenly into the prepared baking dish. 4. Bake in the preheated oven until top is dry and edges have started to pull away from the sides of the pan, about 35 to 40 minutes. Let cool completely before slicing.","3 cups white sugar, 1 cup butter, melted, 1 tablespoon vanilla extract, 4 eggs, 1 ½ cups all-purpose flour, 1 cup unsweetened cocoa powder, 1 teaspoon salt, 1 cup semisweet chocolate chips",Brooke's Best Bombshell Brownies,15 mins,4.5,50 mins,https://www.allrecipes.com/recipe/143667/brookes-best-bombshell-brownies/,"['sugar', 'butter', 'vanilla', 'egg', 'flour', 'cocoa', 'salt', 'chocolate', 'chip']",non-veg,"['sugar', 'butter', 'vanilla', 'egg', 'flour', 'cocoa', 'salt', 'chocolate', 'chip']"
228.0,,1. Cream butter in the bowl of a stand mixer fitted with the paddle attachment until smooth and fluffy. Gradually beat in confectioners' sugar until fully incorporated. Beat in vanilla extract. 2. Add milk and beat for an additional 3 to 4 minutes. Add food coloring and beat for thirty seconds until smooth or until desired color is reached.,"½ cup unsalted butter, at room temperature, 2 cups confectioners' sugar, sifted, 1 ½ teaspoons pure vanilla extract, 2 tablespoons milk, 3 drops food coloring, or as needed (Optional)",Quick and Almost-Professional Buttercream Icing,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/174347/quick-and-almost-professional-buttercream-icing/,"['butter', 'sugar', 'vanilla', 'milk']",veg,"['butter', 'sugar', 'vanilla', 'milk']"
