calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
521,45 mins,"1. Preheat oven to 375 degrees F (190 degrees C). Grease a 9x13-inch baking dish. 2. Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. Drain. 3. Melt 1/4 cup butter in a saucepan over medium heat. Stir salt and mustard powder into melted butter and remove saucepan from heat. 4. Whisk milk and cornstarch together in a bowl until smooth; stir into butter mixture until well blended. Return saucepan to stove; cook milk mixture, stirring constantly, over medium heat until sauce is thickened, about 5 minutes. Remove saucepan from heat. 5. Stir 3 cups Cheddar cheese into sauce until heat from sauce melts cheese. Add pasta to cheese sauce and stir well; pour into the prepared baking dish. 6. Combine remaining 1 cup Cheddar cheese, gluten-free bread crumbs, 1 teaspoon butter, and paprika in a bowl; sprinkle over pasta mixture. 7. Bake in the preheated oven until top is crunchy, about 30 minutes.","10 ounces gluten-free elbow pasta, ¼ cup butter (Optional), 1 ¼ teaspoons salt, ¾ teaspoon mustard powder, 4 cups milk, ¼ cup cornstarch, 4 cups shredded Cheddar cheese, divided, 2 gluten-free bread slices, toasted and broken into crumbs (Optional), 1 teaspoon butter, softened (Optional), ½ teaspoon paprika (Optional)",Easy Gluten-Free Macaroni and Cheese,15 mins,4.5,1 hr,https://www.allrecipes.com/recipe/242268/easy-gluten-free-macaroni-and-cheese/,"['pasta', 'butter', 'salt', 'mustard', 'milk', 'cornstarch', 'cheddar', 'cheese', 'bread', 'butter', 'paprika']",veg,"['pasta', 'butter', 'salt', 'mustard', 'milk', 'cornstarch', 'cheddar', 'cheese', 'bread', 'butter', 'paprika']"
301,9 mins,"1. Heat olive oil in a large skillet over medium heat. Add turkey breast, green pepper, garlic, Italian seasoning, ground black pepper, salt, and red pepper flakes; cook and stir until turkey is lightly browned, 4 to 5 minutes. 2. Stir marinara sauce and baby spinach into the turkey mixture; cook and stir until marinara sauce is warm through, about 3 minutes. 3. Stir zucchini noodles into the sauce with tongs; cook and stir until the zucchini is slightly tender, 2 to 3 minutes.","1 teaspoon extra-virgin olive oil, 1 ¼ pounds ground turkey breast, 1 cup diced green capsicum, 1 tablespoon minced garlic, 2 teaspoons Italian seasoning, ½ teaspoon ground black pepper, ¼ teaspoon salt, ¼ teaspoon red pepper flakes, 3 cups marinara sauce, 2 cups baby spinach leaves, 4 zucchini, cut into noodle-shape strands",Turkey Spaghetti Zoodles,15 mins,5.0,24 mins,https://www.allrecipes.com/recipe/254340/turkey-spaghetti-zoodles/,"['oil', 'turkey', 'capsicum', 'garlic', 'pepper', 'salt', 'pepper', 'sauce', 'spinach', 'zucchini']",non-veg,"['oil', 'turkey', 'pepper', 'garlic', 'pepper', 'salt', 'pepper', 'sauce', 'spinach', 'zucchini']"
235,5 mins,"1. Preheat a waffle iron according to manufacturer's instructions. Grease with cooking spray. 2. Combine oats and almond milk in a large bowl. 3. Whisk egg yolk and butter together in a small bowl; stir into oat mixture. 4. Beat egg white in a glass, metal, or ceramic bowl until stiff peaks form. 5. Stir brown sugar and baking powder into the oat mixture. Fold beaten egg white gently into the batter. 6. Scoop 1/2 cup batter onto the preheated iron and spread to the edges. Close iron and cook until iron stops steaming, about 5 minutes. Repeat with remaining batter.","cooking spray, 1 ½ cups gluten-free rolled oats, ¾ cup almond milk, 1 egg, at room temperature, separated, 3 tablespoons melted butter, 1 tablespoon brown sugar, 1 teaspoon baking powder",Cathy's Gluten-Free Oatmeal Waffles,15 mins,4.0,20 mins,https://www.allrecipes.com/recipe/256559/cathys-gluten-free-oatmeal-waffles/,"['oat', 'almond', 'milk', 'egg', 'butter', 'sugar']",non-veg,"['oat', 'almond', 'milk', 'egg', 'butter', 'sugar']"
350,12 mins,"1. Place salmon fillets on a baking sheet and season with salt and black pepper. 2. Combine pecans, maple syrup, vinegar, paprika, chipotle powder, and onion powder in a food processor; pulse until texture is crumbly. Spoon pecan mixture on top of each salmon fillet, coating the entire top surface. Refrigerate coated salmon, uncovered, for 2 to 3 hours. 3. Preheat oven to 425 degrees F (220 degrees C). 4. Bake salmon in the preheated oven until fish flakes easily with a fork, 12 to 14 minutes.","4 (4 ounce) fillets salmon, salt and ground black pepper to taste, ½ cup pecans, 3 tablespoons pure maple syrup, 1 tablespoon apple cider vinegar, 1 teaspoon smoked paprika, ½ teaspoon chipotle pepper powder, ½ teaspoon onion powder",Paleo Pecan-Maple Salmon,15 mins,4.5,2 hrs 27 mins,https://www.allrecipes.com/recipe/244507/paleo-pecan-maple-salmon/,"['salmon', 'salt', 'pepper', 'pecan', 'maple', 'syrup', 'apple', 'vinegar', 'paprika', 'chipotle', 'pepper', 'onion']",non-veg,"['salmon', 'salt', 'pepper', 'pecan', 'maple', 'syrup', 'apple', 'vinegar', 'paprika', 'chipotle', 'pepper', 'onion']"
221,22 mins,"1. Preheat oven to 350 degrees F (175 degrees C). Grease 12 muffin cups or line with paper liners. 2. Mix water and chia seeds together in a small bowl; set aside until chia seed gel is thickened, about 10 minutes. 3. Combine flour, coconut sugar, baking soda, baking powder, and salt together in a bowl. Whisk chia gel, yogurt, oil, egg, and vanilla extract together in a separate bowl; stir into flour mixture just until batter is moistened. Fold bananas and walnuts into batter. Fill muffin cups 2/3-full with batter. 4. Bake in the preheated oven until a toothpick inserted in the center comes out clean, 22 to 25 minutes. Cool muffins for 5 minutes in the tin before transferring to a wire rack to cool completely.","⅓ cup water, 1 tablespoon chia seeds, 1 ¾ cups gluten-free all purpose baking flour, ¾ cup coconut sugar, 1 teaspoon baking soda, 1 teaspoon baking powder, ½ teaspoon salt, ½ cup plain fat-free yogurt, ¼ cup vegetable oil, 1 large egg, 1 teaspoon vanilla extract, 1 cup mashed ripe bananas, ¾ cup chopped walnuts",Gluten-Free Banana Walnut Chia Muffins,15 mins,5.0,52 mins,https://www.allrecipes.com/recipe/244279/gluten-free-banana-walnut-chia-muffins/,"['water', 'chia', 'flour', 'coconut', 'sugar', 'soda', 'salt', 'yogurt', 'oil', 'egg', 'vanilla', 'banana', 'walnut']",non-veg,"['water', 'chia', 'flour', 'coconut', 'sugar', 'soda', 'salt', 'yogurt', 'oil', 'egg', 'vanilla', 'banana', 'walnut']"
1632,25 mins,"1. Whisk water and sugar together in a bowl. Whisk in yeast. Let stand until yeast softens and begins to form a creamy foam, about 10 minutes. 2. Preheat oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper. 3. Combine gluten-free flour, rice flour, Italian seasoning, xanthan gum, gelatin, and salt in the bowl of a stand mixer fitted with the paddle attachment. Whisk vinegar and olive oil into the yeast mixture; pour over flour mixture. Mix on high speed until a wet, sticky dough forms, about 6 minutes. 4. Transfer dough to the prepared baking sheet. Lay another sheet of parchment paper on top; smooth out dough to fill the baking sheet. Let dough rest, about 10 minutes. 5. Bake in the preheated oven until dough puffs up, 5 to 10 minutes. Peel parchment paper off the top. Continue baking until dough is golden brown and edges are cooked through, about 20 minutes.","1 cup very warm water, ½ teaspoon white sugar, 2 teaspoons yeast, 2 cups gluten-free flour blend, ½ cup rice flour, 1 tablespoon Italian seasoning, 1 teaspoon xanthan gum, 1 teaspoon unflavored gelatin powder, ½ teaspoon salt, 3 tablespoons apple cider vinegar, 3 tablespoons olive oil",Gluten-Free Pizza Crust or Flatbread,15 mins,5.0,1 hr,https://www.allrecipes.com/recipe/257436/gluten-free-pizza-crust-or-flatbread/,"['water', 'sugar', 'yeast', 'flour', 'rice', 'flour', 'salt', 'apple', 'vinegar', 'oil']",veg,"['water', 'sugar', 'yeast', 'flour', 'rice', 'flour', 'salt', 'apple', 'vinegar', 'oil']"
215,30 mins,"1. Preheat oven to 350 degrees F (175 degrees C). 2. Mix almond flour, agave nectar, walnuts, eggs, cocoa powder, coconut oil, and vanilla extract together in a bowl; spread into an 8-inch square baking dish. 3. Bake in the preheated oven until edges of brownies begin to pull from sides of dish, about 30 minutes. Let brownies cool slightly before slicing, about 5 minutes.","¾ cup blanched almond flour, ⅔ cup agave nectar, ½ cup chopped walnuts (Optional), 2 eggs, 5 tablespoons unsweetened cocoa powder, ¼ cup coconut oil, 1 teaspoon vanilla extract",Almond Flour Brownies,10 mins,4.5,45 mins,https://www.allrecipes.com/recipe/242209/almond-flour-brownies/,"['almond', 'flour', 'walnut', 'egg', 'cocoa', 'coconut', 'oil', 'vanilla']",non-veg,"['almond', 'flour', 'walnut', 'egg', 'cocoa', 'coconut', 'oil', 'vanilla']"
481,3 hrs 5 mins,"1. Season lamb shanks with salt and pepper. 2. Heat oil in a large, heavy pot or Dutch oven over medium-high heat. Working in batches, cook shanks until brown on all sides, about 8 minutes. Transfer shanks to a plate; set aside. 3. Add carrots, onions, and garlic to the pot and sauté over medium heat until golden brown, about 10 minutes. Stir in wine, tomatoes, chicken broth, beef broth, rosemary, and thyme. 4. Return shanks to the pot, pressing down to submerge. Bring to a boil, then reduce heat to medium-low. Cover and simmer until meat is tender, about 2 hours. 5. Remove the lid and simmer to allow flavors to concentrate, about 20 minutes. Transfer shanks to a platter; cover with foil to keep warm. Continue boiling sauce until thickened, about 15 minutes. Spoon sauce over shanks before serving.","6 lamb shanks, salt and pepper to taste, 2 tablespoons olive oil, 3 large carrots, cut into 1/4 inch rounds, 2 onions, chopped, 10 cloves garlic, minced, 1 (750 milliliter) bottle red wine, 1 (28 ounce) can whole peeled tomatoes with juice, 1 (10.5 ounce) can condensed chicken broth, 1 (10.5 ounce) can beef broth, 5 teaspoons chopped fresh rosemary, 2 teaspoons chopped fresh thyme",Rosemary Braised Lamb Shanks,20 mins,4.5,3 hrs 25 mins,https://www.allrecipes.com/recipe/36927/rosemary-braised-lamb-shanks/,"['lamb', 'salt', 'pepper', 'oil', 'carrot', 'onion', 'clove', 'garlic', 'tomato', 'chicken', 'beef', 'rosemary', 'thyme']",non-veg,"['lamb', 'salt', 'pepper', 'oil', 'carrot', 'onion', 'clove', 'garlic', 'tomato', 'chicken', 'beef', 'rosemary', 'thyme']"
409,40 mins,"1. Preheat oven to 350 degrees F (175 degrees C). Line a 9x13-inch glass baking dish with parchment paper. 2. Mix sugar and eggs together in a bowl until smooth; stir in peanut butter until well blended. Pour peanut butter mixture into the prepared baking dish. 3. Bake in the preheated oven until cookie base is partly cooked, 8 minutes. 4. Layer semisweet chocolate chips, dark chocolate chips, pecans, almonds, and coconut onto the cookie base. Slowly pour sweetened condensed milk evenly over the toppings. 5. Bake in the preheated oven until coconut is slightly brown, about 30 minutes. 6. Cool completely before removing cookie bars from pan. Peel away parchment paper and cut into small squares using a sharp knife.","2 cups white sugar, 2 large eggs, 2 cups peanut butter, ¾ cup semisweet chocolate chips, ¾ cup dark chocolate chips, ½ cup chopped raw pecans, ½ cup chopped raw almonds, 1 cup flaked coconut, 1 (14 ounce) can sweetened condensed milk",(Gluten Free) Magic Cookie Bars,15 mins,4.5,1 hr 55 mins,https://www.allrecipes.com/recipe/230558/gluten-free-magic-cookie-bars/,"['sugar', 'egg', 'peanut', 'butter', 'chocolate', 'chip', 'chocolate', 'chip', 'pecan', 'almond', 'coconut', 'milk']",non-veg,"['sugar', 'egg', 'peanut', 'butter', 'chocolate', 'chip', 'chocolate', 'chip', 'pecan', 'almond', 'coconut', 'milk']"
248,1 hr 25 mins,"1. Preheat the oven to 350 degrees F (175 degrees C). 2. Bring water and rice to a boil in a covered saucepan. Reduce heat to low and simmer until rice is tender, about 20 minutes. 3. Meanwhile, heat oil in a skillet over medium heat. Add ground beef and cook until evenly browned and crumbly, 7 to 9 minutes. 4. Hollow out capsicums by removing and discarding the tops, seeds, and membranes. Slice the bottoms of the peppers if necessary to make sure they stand up straight. 5. Arrange peppers in a baking dish with the hollowed sides facing upward. 6. Prepare filling by mixing cooked beef, cooked rice, 1/2 of the tomato sauce, Worcestershire sauce, garlic powder, onion powder, salt, and pepper. Spoon an equal amount of filling into each hollowed pepper. 7. Mix remaining tomato sauce and Italian seasoning in a bowl, and pour over the stuffed peppers. 8. Bake in the preheated oven, basting with sauce every 15 minutes, until peppers are tender, about 1 hour.","1 cup cold water, ½ cup uncooked long grain white rice, 1 tablespoon vegetable oil, 1 pound ground beef, 6 medium green capsicums, 16 ounces tomato sauce, divided, 1 tablespoon Worcestershire sauce, ¼ teaspoon garlic powder, ¼ teaspoon onion powder, salt and ground black pepper to taste, 1 teaspoon Italian seasoning",Stuffed Peppers,5 mins,4.5,1 hr 30 mins,https://www.allrecipes.com/recipe/16330/stuffed-peppers/,"['water', 'rice', 'oil', 'beef', 'capsicum', 'tomato', 'sauce', 'worcestershire', 'sauce', 'garlic', 'onion', 'salt', 'pepper']",non-veg,"['water', 'rice', 'oil', 'beef', 'pepper', 'tomato', 'sauce', 'worcestershire', 'sauce', 'garlic', 'onion', 'salt', 'pepper']"
