calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
6,,"1. Mix cumin, coriander, cardamom, pepper, cinnamon, cloves, and nutmeg in a bowl. Place mix in an airtight container, and store in a cool, dry place.","1 tablespoon ground cumin, 1 ½ teaspoons ground coriander, 1 ½ teaspoons ground cardamom, 1 ½ teaspoons ground black pepper, 1 teaspoon ground cinnamon, ½ teaspoon ground cloves, ½ teaspoon ground nutmeg",Easy Garam Masala,5 mins,5.0,5 mins,https://www.allrecipes.com/recipe/142967/easy-garam-masala/,"['cumin', 'coriander', 'cardamom', 'pepper', 'cinnamon', 'clove', 'nutmeg']",veg,"['cumin', 'coriander', 'cardamom', 'pepper', 'cinnamon', 'clove', 'nutmeg']"
362,55 mins,"1. Heat olive oil in a large saucepan over medium-high heat. Add onion; cook and stir until soft and beginning to brown, about 12 minutes. If browned bits of onion are stuck to the bottom of the pan, add water and stir to loosen. 2. Stir ground beef, garlic, ginger, serrano chile, and cilantro into the pan; cook and stir until beef is browned and crumbly, 10 to 15 minutes. Reduce heat to medium-low. Stir in coriander, salt, cumin, cayenne pepper, and turmeric; cook and stir until flavors blend, about 5 minutes. Add potatoes and tomatoes; cover and simmer until potatoes are tender, about 15 minutes. 3. Stir in green peas and cook until sauce has slightly thickened and flavors have blended, 10 to 15 minutes. Sprinkle garam masala over top, cover, and let stand for 5 minutes before serving.","2 tablespoons extra-virgin olive oil, 1 extra-large Spanish onion, chopped, 2 tablespoons water (Optional), 2 pounds lean ground beef, 4 cloves garlic, minced, 2 tablespoons grated fresh ginger root, 1 serrano chile pepper, finely chopped, 2 teaspoons chopped fresh cilantro, 1 tablespoon ground coriander, 1 ½ teaspoons salt, 1 ½ teaspoons ground cumin, 1 teaspoon ground cayenne pepper, 1 teaspoon ground turmeric, 3 potatoes, peeled and diced, 1 (28 ounce) can diced tomatoes, 1 cup frozen green peas, 1 teaspoon garam masala",Keema Aloo (Ground Beef and Potatoes),20 mins,4.5,1 hr 20 mins,https://www.allrecipes.com/recipe/231026/keema-aloo-ground-beef-and-potatoes/,"['oil', 'onion', 'water', 'beef', 'clove', 'garlic', 'ginger', 'pepper', 'cilantro', 'coriander', 'salt', 'cumin', 'cayenne', 'pepper', 'turmeric', 'potato', 'tomato', 'pea', 'masala']",non-veg,"['oil', 'onion', 'water', 'beef', 'clove', 'garlic', 'ginger', 'pepper', 'cilantro', 'coriander', 'salt', 'cumin', 'cayenne', 'pepper', 'turmeric', 'potato', 'tomato', 'pea', 'masala']"
357,10 mins,"1. Mix warm water, salt, and sugar together in a bowl. Put flour in a large mixing bowl; work in 3 1/2 tablespoons ghee using your fingertips. 2. Beat egg and 1 teaspoon water together in a bowl; add to flour mixture. Gradually mix warm water mixture into flour mixture while kneading until dough becomes soft and pliable. Form dough into balls and let rest in a well-oiled bowl, 2 to 3 hours. 3. Working on a flat greased surface, take a dough ball and flatten it using the heel of your palm to make a paper-thin circle. Spread 1 teaspoon ghee inside it. Fold the edges together to make roti into a square. Repeat with remaining dough. 4. Heat about 1 tablespoon ghee on griddle or in a skillet over medium heat; cook roti until browned, 1 to 3 minutes per side.","¾ cup warm water, 1 teaspoon salt, 1 pinch white sugar, 4 ¾ cups all-purpose flour, 3 ½ tablespoons clarified butter (ghee), 1 egg, 1 teaspoon water, 2 tablespoons ghee (clarified butter), divided",Roti Canai/Paratha (Indian Pancake),20 mins,4.5,2 hrs 30 mins,https://www.allrecipes.com/recipe/247233/roti-canaiparatha-indian-pancake/,"['water', 'salt', 'sugar', 'flour', 'butter', 'egg', 'water', 'ghee']",non-veg,"['water', 'salt', 'sugar', 'flour', 'butter', 'egg', 'water', 'ghee']"
320,1 hr 20 mins,"1. Sort and clean chickpeas and wash them under cold water; drain. Combine chickpeas, 1/2 teaspoon salt, and baking soda in a large bowl; add 1 quart water. Soak chickpeas for 24 hours; drain. 2. Combine onion, garlic, and ginger in a blender; add 3 tablespoons water. Blend mixture at high speed until a smooth paste forms. 3. Heat vegetable oil in a 4-quart pot over medium-high heat. Add cumin seeds and asafoetida; cook and stir until asafoetida expands and cumin seeds darken, about 1 minute. Stir onion paste into cumin mixture, taking great care to avoid splattering. Cook and stir mixture until well mixed and fragrant, about 5 minutes. 4. Stir chickpeas, potatoes, 1 teaspoon salt, coriander, garam masala, turmeric, and cayenne pepper into onion-cumin mixture; add 2 cups water. Bring liquid to a boil and cover pot; reduce heat and gently simmer for 1 hour. Stir tamarind paste into chickpea mixture; cook, stirring occasionally, for 10 minutes more.","1 cup dried black chickpeas (garbanzo beans), 1 ½ teaspoons salt, divided, ½ teaspoon baking soda, 1 quart water, 1 onion, chopped, 1 clove garlic, chopped, or more to taste, 1 (1 inch) piece chopped fresh ginger, 3 tablespoons water, 3 tablespoons vegetable oil, ¼ teaspoon cumin seeds, 2 pinches asafoetida powder, 4 potatoes, peeled and quartered, 1 teaspoon ground coriander, 1 teaspoon garam masala, ¼ teaspoon ground turmeric, ¼ teaspoon cayenne pepper, 2 cups water, 3 tablespoons tamarind paste, or more to taste",Black Chana with Potato,15 mins,5.0,1 day 1 hr 35 mins,https://www.allrecipes.com/recipe/246179/black-chana-with-potato/,"['chickpea', 'salt', 'soda', 'water', 'onion', 'clove', 'garlic', 'ginger', 'water', 'oil', 'cumin', 'potato', 'coriander', 'masala', 'turmeric', 'cayenne', 'pepper', 'water', 'tamarind']",veg,"['chickpea', 'salt', 'soda', 'water', 'onion', 'clove', 'garlic', 'ginger', 'water', 'oil', 'cumin', 'potato', 'coriander', 'masala', 'turmeric', 'cayenne', 'pepper', 'water', 'tamarind']"
20,,"1. Mix grape tomatoes, cucumber, green onions, cilantro, lemon juice, mint, salt, and pepper together in a large bowl.","1 cup halved grape tomatoes, 1 cup diced cucumber, ½ cup chopped green onions, ½ cup chopped fresh cilantro, 1 tablespoon fresh lemon juice, 1 tablespoon chopped fresh mint, salt and ground black pepper to taste",Tomato Cucumber Kachumbar,25 mins,4.5,25 mins,https://www.allrecipes.com/recipe/256599/tomato-cucumber-kachumbar/,"['grape', 'tomato', 'cucumber', 'onion', 'cilantro', 'lemon', 'mint', 'salt', 'pepper']",veg,"['grape', 'tomato', 'cucumber', 'onion', 'cilantro', 'lemon', 'mint', 'salt', 'pepper']"
283,1 hr 38 mins,"1. Rinse rice in several changes of water and transfer to a container. Cover with water and let soak at room temperature, 15 minutes to 1 hour. Drain. 2. Combine 3 cups water with red lentils in a large pot over medium heat. Bring to a simmer, skimming any scum that collects on the surface. Stir in onion, cumin, coriander, salt, black pepper, cayenne, and turmeric. Reduce heat to low and simmer, partially covered, until lentils are tender, about 30 minutes. 3. Stir broccoli, tomatoes, peas, and salt into the pot. Continue cooking, stirring frequently, until lentils are soft, about 30 minutes more. 4. Combine drained rice with remaining 1 1/2 cup water in another pot; bring to a boil. Reduce heat to very low and simmer, covered with a tight-fitting lid, until rice is tender and liquid is absorbed, about 20 minutes. 5. Heat oil in a small skillet over medium heat. Add mushrooms, ginger, and garlic; cook and stir until fragrant, 3 to 5 minutes. Pour over lentils; stir to distribute. Cook lentils until flavors combine, about 5 minutes. Serve lentils with rice.","1 cup basmati rice, 4 ½ cups water, divided, 1 cup red lentils (masoor dal), rinsed, ½ cup finely chopped red onion (Optional), 1 teaspoon ground cumin, 1 teaspoon ground coriander, 1 teaspoon salt, or to taste, ½ teaspoon ground black pepper (Optional), ½ teaspoon cayenne powder (Optional), ½ teaspoon ground turmeric, 1 cup broccoli florets (Optional), 1 cup diced tomatoes (Optional), 1 cup frozen peas (Optional), 1 tablespoon olive oil, or as needed, 1 cup sliced mushrooms (Optional), 1 tablespoon peeled, finely grated fresh ginger, 2 cloves garlic, finely grated",Red Split Lentils (Masoor Dal),25 mins,4.0,2 hrs 18 mins,https://www.allrecipes.com/recipe/247204/red-split-lentils-masoor-dal/,"['rice', 'water', 'lentil', 'onion', 'cumin', 'coriander', 'salt', 'pepper', 'cayenne', 'turmeric', 'broccoli', 'tomato', 'pea', 'oil', 'mushroom', 'ginger', 'clove', 'garlic']",veg,"['rice', 'water', 'lentil', 'onion', 'cumin', 'coriander', 'salt', 'pepper', 'cayenne', 'turmeric', 'broccoli', 'tomato', 'pea', 'oil', 'mushroom', 'ginger', 'clove', 'garlic']"
121,5 mins,"1. Place the coconut and yogurt in a blender or food processor. Process to a paste-like consistency. Transfer to a medium bowl. 2. Heat the oil in a medium saucepan over medium heat. Stir in chili peppers, mustard seed, and cumin seeds. Cook until mustard seeds start to pop. Spoon over the coconut mixture. Cover, and refrigerate until serving.","½ fresh whole coconut, drained and grated, ½ cup plain yogurt, 1 tablespoon vegetable oil, 3 fresh red chili peppers, chopped, ½ teaspoon mustard seed, ¼ teaspoon cumin seeds",Coconut Chutney,20 mins,4.5,25 mins,https://www.allrecipes.com/recipe/34591/coconut-chutney/,"['coconut', 'yogurt', 'oil', 'chili', 'pepper', 'mustard', 'cumin']",veg,"['coconut', 'yogurt', 'oil', 'chili', 'pepper', 'mustard', 'cumin']"
360,25 mins,"1. Place fish in a bowl; add 1 tablespoon vegetable oil, 1 tablespoon chile powder, turmeric, and 1 1/2 teaspoons salt and allow to marinate for about 10 minutes. 2. Place tamarind pulp in a bowl and pour warm water over it. Squeeze tamarind to extract juice. 3. Heat 1/4 cup oil in a skillet over medium heat; add cumin seeds and stir. Add onion to cumin; cook and stir until onion is translucent, 5 to 10 minutes. Add garlic paste and cook for 3 minutes. Add carp, cover the skillet, and cook for 5 minutes. 4. Mix tamarind juice into fish mixture; bring to a boil. Turn carp pieces; add 2 tablespoons red chile powder, coriander, and salt. Cook over low heat until sauce thickens and oil separates, about 10 minutes. Garnish with coriander leaves.","2 pounds white carp, cut into large chunks, 1 tablespoon vegetable oil, 1 tablespoon red chile powder, 1 tablespoon ground turmeric, 1 ½ teaspoons salt, ¼ cup tamarind pulp, 1 cup warm water, ¼ cup oil, ½ teaspoon cumin seeds, 1 large onion, minced, 1 ½ tablespoons garlic paste, 2 tablespoons red chile powder, 2 tablespoons ground coriander, 1 pinch salt to taste, 1 tablespoon chopped fresh coriander (cilantro), or to taste",Tamarind Sauce Fish Curry,15 mins,4.5,50 mins,https://www.allrecipes.com/recipe/245131/tamarind-sauce-fish-curry/,"['carp', 'oil', 'turmeric', 'salt', 'tamarind', 'water', 'oil', 'cumin', 'onion', 'garlic', 'coriander', 'salt', 'coriander']",veg,"['carp', 'oil', 'turmeric', 'salt', 'tamarind', 'water', 'oil', 'cumin', 'onion', 'garlic', 'coriander', 'salt', 'coriander']"
489,1 hr 30 mins,"1. Place red chiles, green chiles, cumin seeds, garam masala, ginger, garlic, grated coconut, and tomatoes into a blender; pulse several times to chop, then blend into a smooth paste. 2. Heat vegetable oil in a large skillet or Dutch oven over medium heat. Stir in onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Reduce heat to medium-low, and continue cooking and stirring until the onion is very tender and golden brown, 10 to 15 minutes more. 3. Stir the spice paste into the onion and cook and stir until the oil separates from the mixture, about 3 minutes. 4. Stir in lamb pieces and salt. Cook, stirring frequently over medium-high heat, until the lamb pieces are browned on all sides, about 8 minutes. 5. Mix in yogurt, saffron, and blanched almonds until well combined. 6. Reduce the heat to low and simmer, covered, until the meat is tender and the gravy is thick, about 1 hour. 7. Garnish the curry with chopped cilantro before serving.","4 dried red chile peppers (such as cayenne), 3 long, green fresh chile peppers (such as Indian Jwala), 1 teaspoon cumin seeds, 1 teaspoon Kashmiri garam masala, 1 (1 inch) piece fresh ginger root, peeled and grated, 5 cloves garlic, crushed, ¼ cup dried unsweetened coconut, 3 tomatoes, chopped, 6 tablespoons vegetable oil, 2 large onions, thinly sliced, 2 pounds lamb meat, cut into 1 1/2-inch cubes, salt to taste, ½ teaspoon ground turmeric, 1 cup plain yogurt, ½ teaspoon saffron threads, 20 whole blanched almonds, ¼ cup chopped fresh cilantro",Kashmiri Lamb,35 mins,4.5,2 hrs 5 mins,https://www.allrecipes.com/recipe/220560/kashmiri-lamb/,"['pepper', 'pepper', 'cumin', 'masala', 'ginger', 'clove', 'garlic', 'coconut', 'tomato', 'oil', 'onion', 'lamb', 'meat', 'salt', 'turmeric', 'yogurt', 'saffron', 'almond', 'cilantro']",non-veg,"['pepper', 'pepper', 'cumin', 'masala', 'ginger', 'clove', 'garlic', 'coconut', 'tomato', 'oil', 'onion', 'lamb', 'meat', 'salt', 'turmeric', 'yogurt', 'saffron', 'almond', 'cilantro']"
413,30 mins,"1. Heat oil in a large saucepan over medium heat. Saute onion, garlic, ginger, and green chile pepper in hot oil until onions are translucent, about 10 minutes. 2. Season onion mixture with cumin, paprika, coriander, garam masala, turmeric, and cayenne pepper; stir. Cook onion with spices until fragrant, 1 to 2 minutes. Add tomatoes, chickpeas, and tomato sauce; stir and simmer until the tomatoes soften, about 5 minutes. 3. Stir yogurt into the mixture until the color of the mixture is even; simmer until again hot, about 5 minutes more. Remove pan from heat; stir lemon juice and salt into the mixture.","1 tablespoon olive oil, 1 large onion, chopped, 2 cloves minced garlic, 2 teaspoons grated fresh ginger, 1 green chile pepper, chopped, 1 tablespoon ground cumin, 2 teaspoons paprika, 1 teaspoon ground coriander, 1 teaspoon garam masala, 1 teaspoon ground turmeric, ½ teaspoon ground cayenne pepper, 4 cups chopped tomatoes, 4 cups cooked chickpeas (garbanzo beans), ½ cup tomato sauce, ½ cup plain yogurt, 1 lemon, juiced, ½ teaspoon salt",Delicious Chana Masala,15 mins,4.5,45 mins,https://www.allrecipes.com/recipe/236563/delicious-chana-masala/,"['oil', 'onion', 'clove', 'garlic', 'ginger', 'pepper', 'cumin', 'paprika', 'coriander', 'masala', 'turmeric', 'cayenne', 'pepper', 'tomato', 'chickpea', 'tomato', 'sauce', 'yogurt', 'lemon', 'salt']",veg,"['oil', 'onion', 'clove', 'garlic', 'ginger', 'pepper', 'cumin', 'paprika', 'coriander', 'masala', 'turmeric', 'cayenne', 'pepper', 'tomato', 'chickpea', 'tomato', 'sauce', 'yogurt', 'lemon', 'salt']"
