calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
442,10 mins,"1. Set the oven rack about 6 inches from the heat source and preheat the oven's broiler. 2. Slice chicken breast through the middle horizontally from one side to within 1/2 inch of the other side. Open the two sides and spread them out like an open book. Pound chicken flat until about 1/2-inch thick. 3. Beat egg and cream together in a bowl. 4. Combine crushed pork rinds, Parmesan cheese, salt, garlic powder, red pepper flakes, ground black pepper, and Italian seasoning in a separate shallow bowl or plate. 5. Dip chicken into egg mixture; coat completely. Press chicken into breading; thickly coat both sides. 6. Heat a skillet over medium-high heat; add ghee. Place chicken in the pan; cook until no longer pink in the center and the juices run clear, about 3 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Be careful to keep breading in place. 7. Transfer chicken to a baking sheet. Cover with tomato sauce; top with mozzarella cheese. 8. Broil until cheese is bubbling and barely browned, about 2 minutes.","1 (8 ounce) skinless, boneless chicken breast, 1 large egg, 1 tablespoon heavy whipping cream, 1 ½ ounces pork rinds, crushed, 1 ounce grated Parmesan cheese, ½ teaspoon salt, ½ teaspoon garlic powder, ½ teaspoon red pepper flakes (Optional), ½ teaspoon ground black pepper, ½ teaspoon Italian seasoning, 1 tablespoon ghee (clarified butter), ½ cup jarred tomato sauce (such as Rao's®), ¼ cup shredded mozzarella cheese",Keto Chicken Parmesan,20 mins,5.0,30 mins,https://www.allrecipes.com/recipe/259138/keto-chicken-parmesan/,"['chicken', 'egg', 'cream', 'pork', 'parmesan', 'cheese', 'salt', 'garlic', 'pepper', 'pepper', 'ghee', 'tomato', 'sauce', 'mozzarella', 'cheese']",non-veg,"['chicken', 'egg', 'cream', 'pork', 'parmesan', 'cheese', 'salt', 'garlic', 'pepper', 'pepper', 'ghee', 'tomato', 'sauce', 'mozzarella', 'cheese']"
339,1 hr,"1. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil. 2. Cut stem off the end of spaghetti squash using a sharp knife. Cut the squash in half lengthwise and scrape out the seeds. Brush the inside with olive oil and sprinkle with salt and pepper. 3. Bake in the preheated oven until soft, about 45 minutes. Scrape cooked flesh out into a bowl and set aside. Return spaghetti squash shells to the baking sheet. 4. Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, 5 to 6 minutes. Drain bacon slices on paper towels. 5. Add mushrooms and garlic to the skillet and cook for 4 to 5 minutes. Add in the cooked bacon and spinach. Stir until spinach is wilted, 2 to 3 minutes. Add mushroom mixture to the bowl of squash. Mix in sour cream, salt, and pepper. Stir until filling is evenly combined. 6. Spoon filling back into the squash shells. Sprinkle each half with 1 tablespoon blue cheese. Return to the oven and bake until cheese is melted and squash is heated through, 4 to 5 minutes.","1 small spaghetti squash, 1 tablespoon olive oil, salt and ground black pepper to taste, 4 slices bacon, cut into 1/2-inch pieces, 1 (4 ounce) package mushrooms, sliced, 1 clove garlic, minced, 2 cups baby spinach, ¼ cup sour cream, 2 tablespoons crumbled blue cheese",Keto Spaghetti Squash with Bacon and Blue Cheese,15 mins,5.0,1 hr 15 mins,https://www.allrecipes.com/recipe/267861/keto-spaghetti-squash-with-bacon-and-blue-cheese/,"['squash', 'oil', 'salt', 'pepper', 'bacon', 'mushroom', 'clove', 'garlic', 'spinach', 'cream', 'cheese']",veg,"['squash', 'oil', 'salt', 'pepper', 'bacon', 'mushroom', 'clove', 'garlic', 'spinach', 'cream', 'cheese']"
245,55 mins,"1. Preheat the oven to 350 degrees F (175 degrees C). 2. Pulse almonds and pecans together in a food processor until ground, but not paste-like. Add sweetener and butter; pulse to combine. Press mixture into the bottom of a 9-inch springform pan. 3. Bake in the preheated oven until crust is golden brown, about 10 minutes. Let cool 10 minutes. 4. Blend cream cheese and 2/3 cup sweetener in a food processor or with an electric mixer until smooth, 2 to 3 minutes. Mix in pumpkin, vanilla extract, cinnamon, ginger, cloves, and salt until smooth, about 2 minutes more. Add eggs one at a time, mixing thoroughly after each addition. Pour filling into prepared crust. 5. Bake in the preheated oven until just set in the center, or when the filling jiggles but does not run, 45 to 50 minutes. Let cool completely, about 30 minutes. Run a knife around the edge of the cheesecake; cover, and refrigerate for at least 4 hours.","1 cup almonds, 1 cup pecans, 2 (1 gram) packets granular sucralose sweetener (such as Splenda®), 3 tablespoons butter, melted, 3 (8 ounce) packages low-fat cream cheese, at room temperature, ⅔ cup granular sucralose sweetener (such as Splenda®), 1 (15 ounce) can pumpkin puree, 1 teaspoon vanilla extract, 1 teaspoon ground cinnamon, ½ teaspoon ground ginger, ¼ teaspoon ground cloves, ¼ teaspoon salt, 3 eggs",Keto Pumpkin Cheesecake with Almond Pecan Crust,10 mins,4.5,5 hrs 45 mins,https://www.allrecipes.com/recipe/272693/keto-pumpkin-cheesecake-with-almond-pecan-crust/,"['almond', 'pecan', 'butter', 'cream', 'cheese', 'pumpkin', 'vanilla', 'cinnamon', 'ginger', 'clove', 'salt', 'egg']",non-veg,"['almond', 'pecan', 'butter', 'cream', 'cheese', 'pumpkin', 'vanilla', 'cinnamon', 'ginger', 'clove', 'salt', 'egg']"
399,20 mins,"1. Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, 5 to 10 minutes. Drain on paper towels, reserving grease in the skillet. 2. Place cauliflower in a metal or silicone steamer basket inside a multi-functional pressure cooker (such as Instant Pot®). Add 1 cup water to the pot. Close and lock the lid. Select Steam function; set timer for 4 minutes. Allow 10 to 15 minutes for pressure to build. 3. Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. 4. Drain cauliflower and transfer to a deep bowl. Add Parmesan cheese, butter, MCT oil, vinegar, and salt. Mix with an immersion blender until smooth. Stir in diced bacon. Add 1 to 2 tablespoons of the reserved bacon grease.","½ pound bacon, diced, 1 large head cauliflower, cut into florets, 1 cup shredded Parmesan cheese, 4 tablespoons unsalted butter, at room temperature, 2 tablespoons medium-chain triglyceride (MCT) oil, ½ tablespoon apple cider vinegar, sea salt to taste",Keto Cauliflower Bacon Cheese Mash,15 mins,5.0,40 mins,https://www.allrecipes.com/recipe/270642/keto-cauliflower-bacon-cheese-mash/,"['bacon', 'cauliflower', 'parmesan', 'cheese', 'butter', 'oil', 'apple', 'vinegar', 'salt']",veg,"['bacon', 'cauliflower', 'parmesan', 'cheese', 'butter', 'oil', 'apple', 'vinegar', 'salt']"
29,35 mins,"1. Place riced cauliflower in a microwave-safe bowl. Microwave, covered, for 3 to 4 minutes. Transfer to a cheesecloth-lined strainer and allow to cool for 15 minutes. Squeeze moisture out of the cooled riced cauliflower. 2. Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper. 3. Combine riced cauliflower, egg, ranch mix, and cayenne pepper in a bowl and mix well. Stir in Parmesan cheese until incorporated. 4. Drop mixture with a small cookie scoop onto the prepared cookie sheet and flatten with a small hand rolling pin, a cup, or your hand to approximately 1/16-inch thickness. The thinner the dough, the crispier the cracker. 5. Bake crackers in the preheated oven for 10 minutes, flip, and bake for an additional 10 minutes. Cool on a wire rack.","1 (12 ounce) package frozen riced cauliflower, cheese cloth, 1 egg, 1 tablespoon dry ranch salad dressing mix, ⅛ teaspoon cayenne pepper, or more to taste, 1 cup shredded Parmesan cheese",Spicy Ranch Cauliflower Crackers,20 mins,4.5,1 hr 10 mins,https://www.allrecipes.com/recipe/276109/spicy-ranch-cauliflower-crackers/,"['cauliflower', 'cheese', 'egg', 'cayenne', 'pepper', 'parmesan', 'cheese']",non-veg,"['cauliflower', 'cheese', 'egg', 'cayenne', 'pepper', 'parmesan', 'cheese']"
469,35 mins,"1. Preheat the oven to 400 degrees F (200 degrees C). 2. Bring a large pot of lightly salted water to a boil and cook cauliflower until tender but firm to the bite, about 10 minutes. Drain, then arrange cauliflower in a small casserole dish. 3. Combine Cheddar cheese, cream, salt, and pepper in a bowl. Cover cauliflower with cheese mixture. 4. Bake in the preheated oven until cheese is bubbly and golden brown, about 25 minutes.","½ head cauliflower florets, 1 cup shredded Cheddar cheese, ½ cup heavy cream, salt and freshly ground black pepper to taste",Simple Cauliflower Keto Casserole,10 mins,4.5,45 mins,https://www.allrecipes.com/recipe/265006/simple-cauliflower-keto-casserole/,"['cauliflower', 'cheddar', 'cheese', 'cream', 'salt', 'pepper']",veg,"['cauliflower', 'cheddar', 'cheese', 'cream', 'salt', 'pepper']"
591,40 mins,"1. Heat a large skillet over medium-high heat and add oil and 2 tablespoons butter. 2. Meanwhile, season chicken with chili powder, salt, and black pepper. Cook chicken in the skillet on 1 side for 5 minutes, resisting the urge to flip early. Turn and cook, turning occasionally to keep from burning, until no longer pink inside and juices run clear, 10 to 15 minutes, depending on thickness. Transfer chicken to a plate to cool until safe to handle, about 10 minutes. Shred chicken using your fingers and set aside. 3. Mix remaining 6 tablespoons butter, chicken broth, heavy cream, cream cheese, onion powder, cumin, and hot sauce together in a large, heavy pot. Season with salt and black pepper and bring to a simmer; cook until butter and cream cheese are melted, about 5 minutes. 4. Add shredded chicken, Monterey Jack cheese, and green chiles to the chili in the pot. Reduce heat to low and cook, stirring occasionally, for 20 minutes.","1 tablespoon oil, or as needed, 1 stick butter, divided, 2 pounds skinless, boneless chicken breasts, 1 ½ teaspoons chili powder, salt and ground black pepper to taste, ¾ cup chicken broth, 2 cups heavy whipping cream, 4 ounces cream cheese, 1 ½ tablespoons onion powder, 2 teaspoons cumin, 1 teaspoon hot sauce, 1 ½ cups grated Monterey Jack cheese, 2 (4 ounce) cans chopped green chilies",Keto White Chicken Chili,20 mins,5.0,1 hr 10 mins,https://www.allrecipes.com/recipe/272323/keto-white-chicken-chili/,"['oil', 'butter', 'chicken', 'chili', 'salt', 'pepper', 'chicken', 'cream', 'cream', 'cheese', 'onion', 'cumin', 'sauce', 'cheese']",non-veg,"['oil', 'butter', 'chicken', 'chili', 'salt', 'pepper', 'chicken', 'cream', 'cream', 'cheese', 'onion', 'cumin', 'sauce', 'cheese']"
141,5 mins,"1. Break the eggs into a microwave-proof mixing bowl. Add milk and salt; mix well. 2. Pop the bowl into the microwave and cook on high power for 30 seconds. Remove bowl, beat eggs very well, scraping down the sides of the bowl, and return to the microwave for another 30 seconds. Repeat this pattern, stirring every 30 seconds for up to 2 1/2 minutes. Stop when eggs have the consistency you desire.","4 eggs, ¼ cup milk, ⅛ teaspoon salt",Fluffy Microwave Scrambled Eggs,5 mins,4.5,10 mins,https://www.allrecipes.com/recipe/272293/fluffy-microwave-scrambled-eggs/,"['egg', 'milk', 'salt']",non-veg,"['egg', 'milk', 'salt']"
554,30 mins,"1. Microwave spinach in a medium bowl until warmed through, 2 to 3 minutes. Let cool slightly and squeeze to remove excess moisture. 2. Return spinach to the bowl. Mix in cream cheese, artichoke hearts, Parmesan cheese, mayonnaise, garlic powder, and salt. Set aside. 3. Pound chicken breasts to an even thickness, no more than 1-inch-thick. Season with salt and pepper on both sides. 4. Preheat the oven to 375 degrees F (190 degrees C). 5. Heat olive oil in a large skillet over medium-high heat. Brown chicken breasts in the hot oil, 2 to 3 minutes, working in batches if necessary. Place chicken breasts in a large baking dish. Spread spinach-artichoke mixture on top of each breast. 6. Bake in the preheated oven until chicken is no longer pink in the center and the juices run clear, 20 to 22 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Top breasts with the mozzarella cheese and continue baking until cheese has melted, 1 to 2 more minutes.","½ (10 ounce) package frozen spinach, 1 (4 ounce) package cream cheese, softened, ½ (14 ounce) can quartered artichoke hearts, drained and chopped, ¼ cup shredded Parmesan cheese, ¼ cup mayonnaise, ½ teaspoon garlic powder, ½ teaspoon salt, 4 (8 ounce) boneless, skinless chicken breasts, salt and pepper to taste, 1 tablespoon olive oil, ½ cup shredded mozzarella cheese",Keto Spinach-Artichoke Chicken,20 mins,5.0,50 mins,https://www.allrecipes.com/recipe/274192/keto-spinach-artichoke-chicken/,"['spinach', 'cream', 'cheese', 'artichoke', 'parmesan', 'cheese', 'mayonnaise', 'garlic', 'salt', 'chicken', 'salt', 'pepper', 'oil', 'mozzarella', 'cheese']",non-veg,"['spinach', 'cream', 'cheese', 'artichoke', 'parmesan', 'cheese', 'mayonnaise', 'garlic', 'salt', 'chicken', 'salt', 'pepper', 'oil', 'mozzarella', 'cheese']"
424,1 hr,"1. Preheat the oven to 375 degrees F (190 degrees C). Grease an 8-inch baking dish with cooking spray. 2. Pat dry zucchini slices with a paper towel to remove excess moisture. Set aside. 3. Heat olive oil in a saucepan over medium-high heat. Add ground beef; cook until browned, 5 to 8 minutes. Add marinara sauce, 1 teaspoon salt, oregano, and pepper; simmer for 10 minutes. Set aside. 4. Combine ricotta cheese, egg, 1 teaspoon salt, and nutmeg in a bowl; mix well. Set aside. 5. Arrange one layer of zucchini slices in the prepared baking dish. Cover with 1/2 of the sauce. Add another layer of zucchini slices. Spread ricotta mixture on top. Sprinkle with 1/2 of the mozzarella cheese. Add another layer of zucchini slices; cover with remaining sauce and top with remaining mozzarella cheese and Parmesan cheese. Cover the baking dish with aluminum foil. 6. Bake in the preheated oven for 30 minutes. Remove aluminum foil and bake until top is golden, about 15 minutes more.","cooking spray, 1 ½ large zucchinis, thinly sliced lengthwise, 1 tablespoon olive oil, 1 pound ground beef, 1 ½ cups low-carb marinara sauce, 2 teaspoons salt, divided, 1 teaspoon dried oregano, ½ teaspoon ground black pepper, 1 (8 ounce) container ricotta cheese, 1 large egg, ½ teaspoon ground nutmeg, 2 cups shredded mozzarella cheese, ¼ cup grated Parmesan cheese, aluminum foil",Ultimate Low-Carb Zucchini Lasagna,20 mins,5.0,1 hr 20 mins,https://www.allrecipes.com/recipe/261026/ultimate-low-carb-zucchini-lasagna/,"['zucchini', 'oil', 'beef', 'sauce', 'salt', 'oregano', 'pepper', 'ricotta', 'cheese', 'egg', 'nutmeg', 'mozzarella', 'cheese', 'parmesan', 'cheese']",non-veg,"['zucchini', 'oil', 'beef', 'sauce', 'salt', 'oregano', 'pepper', 'ricotta', 'cheese', 'egg', 'nutmeg', 'mozzarella', 'cheese', 'parmesan', 'cheese']"
