calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
613,20 mins,"1. Combine beef, veal, and pork in a large bowl. Add garlic, eggs, cheese, parsley, salt and pepper. 2. Blend bread crumbs into meat mixture. Slowly add the water 1/2 cup at a time. The mixture should be very moist but still hold its shape if rolled into meatballs. (I usually use about 1 1/4 cups of water). Shape into meatballs. 3. Heat olive oil in a large skillet. Fry meatballs in batches. When the meatball is very brown and slightly crisp remove from the heat and drain on a paper towel. (If your mixture is too wet, cover the meatballs while they are cooking so that they hold their shape better.)","1 pound ground beef, ½ pound ground veal, ½ pound ground pork, 2 cloves garlic, minced, 2 eggs, 1 cup freshly grated Romano cheese, 1 ½ tablespoons chopped Italian flat leaf parsley, salt and ground black pepper to taste, 2 cups stale Italian bread, crumbled, 1 ½ cups lukewarm water, 1 cup olive oil",The Best Meatballs,30 mins,4.5,50 mins,https://www.allrecipes.com/recipe/40399/the-best-meatballs/,"['beef', 'veal', 'pork', 'clove', 'garlic', 'egg', 'romano', 'cheese', 'parsley', 'salt', 'pepper', 'bread', 'water', 'oil']",non-veg,"['beef', 'veal', 'pork', 'clove', 'garlic', 'egg', 'romano', 'cheese', 'parsley', 'salt', 'pepper', 'bread', 'water', 'oil']"
404,5 mins,"1. In a large bowl, or large zip-top bag, mix together the sugar, lemon pepper, parsley, garlic, oyster sauce, and mayonnaise. Add the shrimp, and toss well to coat. Marinate in the refrigerator for 1 hour to overnight. 2. Preheat a grill for medium-high heat. Soak skewers in water. 3. Thread shrimp onto skewers, and grill until they are pink and firm, 2 to 3 minutes per side.","2 tablespoons white sugar, 2 tablespoons lemon pepper seasoning, 1 tablespoon minced fresh parsley, 2 tablespoons finely minced garlic, 1 tablespoon oyster sauce, 1 cup mayonnaise, 2 pounds extra large shrimp (16-20), peeled and deveined, tail left on, 12 (10 inch) wooden skewers",Hawaiian Beach Shrimp,15 mins,4.5,1 hr 20 mins,https://www.allrecipes.com/recipe/131733/hawaiian-beach-shrimp/,"['sugar', 'lemon', 'pepper', 'parsley', 'garlic', 'oyster', 'sauce', 'mayonnaise', 'shrimp']",non-veg,"['sugar', 'lemon', 'pepper', 'parsley', 'garlic', 'oyster', 'sauce', 'mayonnaise', 'shrimp']"
423,1 hr 15 mins,"1. Preheat oven to 350 degrees F (175 degrees C). 2. Place chicken in a roasting pan, and season generously inside and out with salt and pepper. Sprinkle inside and out with onion powder. Place 3 tablespoons margarine in the chicken cavity. Arrange dollops of the remaining margarine around the chicken's exterior. Cut the celery into 3 or 4 pieces, and place in the chicken cavity. 3. Bake chicken uncovered in the preheated oven until no longer pink at the bone and the juices run clear, about 1 hour and 15 minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 180 degrees F (82 degrees C). Remove from heat and baste with melted margarine and drippings. Cover with aluminum foil and allow to rest about 30 minutes before serving.","1 (3 pound) whole chicken, giblets removed, salt and black pepper to taste, 1 tablespoon onion powder, or to taste, ½ cup margarine, divided, 1 stalk celery, leaves removed",Juicy Roasted Chicken,10 mins,4.5,1 hr 40 mins,https://www.allrecipes.com/recipe/83557/juicy-roasted-chicken/,"['chicken', 'salt', 'pepper', 'onion', 'margarine', 'celery']",non-veg,"['chicken', 'salt', 'pepper', 'onion', 'margarine', 'celery']"
224,10 mins,"1. Drain and reserve liquid from salmon. Mix egg, onion, bread crumbs and salmon together. 2. Make into patties. If mixture is too dry to form into patties, add reserved liquid from salmon. 3. In a frying pan, heat olive oil. Place patties in pan. Brown on each side, turning gently. Drain on paper towels and serve.","1 (14.75 ounce) can canned salmon, 1 egg, ¼ cup chopped onion, ½ cup seasoned dry bread crumbs, 1 tablespoon olive oil",Salmon Patties,15 mins,4.5,25 mins,https://www.allrecipes.com/recipe/9401/salmon-patties-i/,"['salmon', 'egg', 'onion', 'bread', 'oil']",non-veg,"['salmon', 'egg', 'onion', 'bread', 'oil']"
88,20 mins,"1. Preheat oven to 350 degrees F (175 degrees C). Spray a baking sheet with cooking spray. Clean mushrooms with a damp paper towel. Carefully break off stems. Chop stems extremely fine, discarding tough end of stems. 2. Heat oil in a large skillet over medium heat. Add garlic and chopped mushroom stems to the skillet. Fry until any moisture has disappeared, taking care not to burn garlic. Set aside to cool. 3. When garlic and mushroom mixture is no longer hot, stir in cream cheese, Parmesan cheese, black pepper, onion powder and cayenne pepper. Mixture should be very thick. Using a little spoon, fill each mushroom cap with a generous amount of stuffing. Arrange the mushroom caps on prepared cookie sheet. 4. Bake for 20 minutes in the preheated oven, or until the mushrooms are piping hot and liquid starts to form under caps.","12 whole fresh mushrooms, 1 tablespoon vegetable oil, 1 tablespoon minced garlic, 1 (8 ounce) package cream cheese, softened, ¼ cup grated Parmesan cheese, ¼ teaspoon ground black pepper, ¼ teaspoon onion powder, ¼ teaspoon ground cayenne pepper",Mouth-Watering Stuffed Mushrooms,25 mins,4.5,45 mins,https://www.allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/,"['mushroom', 'oil', 'garlic', 'cream', 'cheese', 'parmesan', 'cheese', 'pepper', 'onion', 'cayenne', 'pepper']",veg,"['mushroom', 'oil', 'garlic', 'cream', 'cheese', 'parmesan', 'cheese', 'pepper', 'onion', 'cayenne', 'pepper']"
188,15 mins,"1. Melt butter in a skillet over medium-high heat. Stir in the olive oil, salt, and pepper. Cook garlic in butter for a minute, but do not brown. Add asparagus, and cook for 10 minutes, turning asparagus to ensure even cooking.","¼ cup butter, 2 tablespoons olive oil, 1 teaspoon coarse salt, ¼ teaspoon ground black pepper, 3 cloves garlic, minced, 1 pound fresh asparagus spears, trimmed",Pan-Fried Asparagus,5 mins,4.5,25 mins,https://www.allrecipes.com/recipe/18318/pan-fried-asparagus/,"['butter', 'oil', 'salt', 'pepper', 'clove', 'garlic', 'asparagus']",veg,"['butter', 'oil', 'salt', 'pepper', 'clove', 'garlic', 'asparagus']"
305,20 mins,"1. Preheat the air fryer to 380 degrees F (190 degrees C). 2. Combine Parmesan cheese, paprika, garlic powder, salt, parsley, and pepper in a flat shallow dish; mix well. 3. Coat each pork chop with olive oil. Dredge both sides of each chop in the Parmesan mixture and set on a plate. 4. Place 2 chops in the basket of the air fryer and cook for 10 minutes; flipping halfway through cook time. 5. Transfer to a cutting board and let rest for 5 minutes. Repeat with remaining chops.","½ cup grated Parmesan cheese, 1 teaspoon paprika, 1 teaspoon garlic powder, 1 teaspoon kosher salt, 1 teaspoon dried parsley, ½ teaspoon ground black pepper, 4 (5 ounce) boneless pork chops, 2 tablespoons extra virgin olive oil",Easy Air Fryer Pork Chops,5 mins,5.0,25 mins,https://www.allrecipes.com/recipe/275576/easy-air-fryer-pork-chops/,"['parmesan', 'cheese', 'paprika', 'garlic', 'salt', 'parsley', 'pepper', 'pork', 'oil']",non-veg,"['parmesan', 'cheese', 'paprika', 'garlic', 'salt', 'parsley', 'pepper', 'pork', 'oil']"
342,15 mins,"1. Preheat an oven to 350 degrees F (175 degrees C). 2. Toss the shrimp in a bowl with the olive oil, melted butter, garlic, salt, and pepper; set aside for 10 minutes. Arrange the shrimp in a circular pattern in a round casserole dish. 3. Bake in the preheated oven until the shrimp are pink and cooked through, about 15 minutes.","30 medium shrimp - peeled and deveined, 2 tablespoons olive oil, 2 tablespoons butter, melted, 2 cloves garlic, minced, ½ teaspoon kosher salt, ¼ teaspoon ground black pepper",Sexy Shrimp Scampi,20 mins,4.5,45 mins,https://www.allrecipes.com/recipe/136525/sexy-shrimp-scampi/,"['shrimp', 'oil', 'butter', 'clove', 'garlic', 'salt', 'pepper']",non-veg,"['shrimp', 'oil', 'butter', 'clove', 'garlic', 'salt', 'pepper']"
310,35 mins,"1. Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9-inch pie pan. 2. Heat oil in a large skillet over medium-high heat. Add onions and cook, stirring occasionally, until soft, about 3 minutes. Stir in spinach and continue to cook until excess moisture has evaporated. 3. Whisk together eggs, salt, and pepper in a large bowl. Add Muenster cheese and spinach mixture and stir until well blended. Pour into the prepared pan. 4. Bake in the preheated oven until eggs have set, about 30 minutes. 5. Remove from the oven and let cool for 10 minutes before serving.","1 tablespoon vegetable oil, 1 medium onion, chopped, 1 (10 ounce) package frozen chopped spinach - thawed, drained, and squeezed dry, 5 large eggs, beaten, ¼ teaspoon salt, ⅛ teaspoon ground black pepper, 3 cups shredded Muenster cheese",Crustless Spinach Quiche,15 mins,4.5,50 mins,https://www.allrecipes.com/recipe/20876/crustless-spinach-quiche/,"['oil', 'onion', 'spinach', 'egg', 'salt', 'pepper', 'muenster', 'cheese']",non-veg,"['oil', 'onion', 'spinach', 'egg', 'salt', 'pepper', 'muenster', 'cheese']"
45,,"1. Peel and mash avocados in a medium serving bowl. Stir in onion, garlic, tomato, lime juice, salt and pepper. Season with remaining lime juice and salt and pepper to taste. Chill for half an hour to blend flavors.","2 avocados, 1 small onion, finely chopped, 1 clove garlic, minced, 1 ripe tomato, chopped, 1 lime, juiced, salt and pepper to taste",Easy Guacamole,10 mins,4.5,40 mins,https://www.allrecipes.com/recipe/14064/easy-guacamole/,"['avocado', 'onion', 'clove', 'garlic', 'tomato', 'lime', 'salt', 'pepper']",veg,"['avocado', 'onion', 'clove', 'garlic', 'tomato', 'lime', 'salt', 'pepper']"
