calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
499,1 hr 30 mins,"1. Preheat the oven to 400 degrees F (200 degrees C). Butter a 1-quart casserole dish. 2. Layer 1/2 of the potatoes in the bottom of the prepared casserole dish; season with salt and pepper. Layer onion slices over top, then top with with remaining potatoes. Season again with salt and pepper. 3. Melt butter in a medium saucepan over medium heat. Gradually whisk in flour and salt and cook, whisking constantly until raw flour flavor has cooked off, about 1 minute. Gradually add milk, about 1/4 cup at a time, whisking well after each addition to incorporate; the gradual addition and whisking of milk will help avoid lumps in your sauce. 4. Cook, whisking constantly, until the mixture has thickened, 3 to 5 minutes. Stir in cheese all at once; continue stirring until melted, 30 to 60 seconds. Pour cheese sauce over the potatoes, and cover the dish with aluminum foil. 5. Bake in the preheated oven until potatoes are tender and sauce is bubbly, about 1 1/2 hours.","4 medium russet potatoes, thinly sliced, 1 medium onion, sliced into rings, salt and ground black pepper to taste, 3 tablespoons butter, 3 tablespoons all-purpose flour, ½ teaspoon salt, 2 cups milk, 1 ½ cups shredded Cheddar cheese",Creamy au Gratin Potatoes,30 mins,4.5,2 hrs,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,"['potato', 'onion', 'salt', 'pepper', 'butter', 'flour', 'salt', 'milk', 'cheddar', 'cheese']",veg,"['potato', 'onion', 'salt', 'pepper', 'butter', 'flour', 'salt', 'milk', 'cheddar', 'cheese']"
11,,"1. Mix together tomato sauce and tomato paste in a medium bowl until smooth. Stir in oregano, garlic, and paprika.","1 (15 ounce) can tomato sauce, 1 (6 ounce) can tomato paste, 1 tablespoon ground oregano, 1 ½ teaspoons dried minced garlic, 1 teaspoon ground paprika",Easy Pizza Sauce,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/44975/easy-pizza-sauce-iii/,"['tomato', 'sauce', 'tomato', 'oregano', 'garlic', 'paprika']",veg,"['tomato', 'sauce', 'tomato', 'oregano', 'garlic', 'paprika']"
36,5 mins,"1. Melt butter in a skillet over medium-high heat. Add the cherry tomatoes, basil, and sugar. Cook for about 30 seconds, then season to taste with salt and pepper. Continue cooking for a few seconds more until the tomatoes have just started to blister.","2 teaspoons butter, 1 teaspoon dried basil, 1 pint cherry tomatoes, ½ teaspoon white sugar, salt and pepper to taste",Byrdhouse Blistered Cherry Tomatoes,5 mins,4.5,10 mins,https://www.allrecipes.com/recipe/159374/byrdhouse-blistered-cherry-tomatoes/,"['butter', 'basil', 'cherry', 'tomato', 'sugar', 'salt', 'pepper']",veg,"['butter', 'basil', 'cherry', 'tomato', 'sugar', 'salt', 'pepper']"
278,20 mins,"1. Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, 20 to 25 minutes. 2. While potatoes are cooking, melt butter over medium-low heat in a small saucepan. Add garlic and saute until soft, about 5 minutes. 3. Drain potatoes and return to the pot. Add garlic-butter mixture, milk, Parmesan cheese, parsley, sea salt, and pepper; mash until smooth.","5 pounds potatoes, peeled and quartered, ¼ cup butter, 6 cloves garlic, minced, 2 cups 2% milk, 1 cup freshly grated Parmesan cheese, ¼ cup chopped fresh parsley, 1 teaspoon sea salt, ½ teaspoon ground black pepper",Creamy Garlic-Parmesan Mashed Potatoes,30 mins,5.0,50 mins,https://www.allrecipes.com/recipe/275060/creamy-garlic-parmesan-mashed-potatoes/,"['potato', 'butter', 'clove', 'garlic', 'milk', 'parmesan', 'cheese', 'parsley', 'salt', 'pepper']",veg,"['potato', 'butter', 'clove', 'garlic', 'milk', 'parmesan', 'cheese', 'parsley', 'salt', 'pepper']"
119,11 mins,"1. Bring a large pot of salted water to a boil over high heat: add sugar, and beans. Cook until beans are bright green and tender, 3 to 5 minutes. Drain, and place in a large bowl of ice water to stop cooking. 2. Combine the butter and olive oil in a large skillet over medium-high heat; cook until butter melts. Stir in the garlic; cook until pale beige and fragrant. Stir in the beans; cook until wilted, and garlic is dark brown, about 4 minutes. Toss beans with parsley and lemon zest, and cook 1 to 2 minutes more. Season to taste with salt and pepper. Transfer beans to a serving dish, and garnish with lemon wedges.","1 pinch white sugar, 1 pound fresh green beans, trimmed, 2 tablespoons butter, 2 teaspoons olive oil, 3 cloves garlic, minced, 1 tablespoon lemon zest, ¼ cup chopped fresh parsley, salt and pepper to taste, 1 lemon, cut into wedges",Lemon-Parsley Green Beans,5 mins,4.5,16 mins,https://www.allrecipes.com/recipe/146100/lemon-parsley-green-beans/,"['sugar', 'bean', 'butter', 'oil', 'clove', 'garlic', 'lemon', 'parsley', 'salt', 'pepper', 'lemon']",veg,"['sugar', 'bean', 'butter', 'oil', 'clove', 'garlic', 'lemon', 'parsley', 'salt', 'pepper', 'lemon']"
282,1 hr,"1. Preheat the oven to 400 degrees F (200 degrees C). 2. Put potato wedges in a large bowl. Drizzle with olive oil and lemon juice and toss to coat. Season with salt, oregano, and black pepper; toss again to coat. 3. Spread potato wedges in a single layer in a 2-inch-deep pan. Pour chicken broth over potatoes. 4. Roast potatoes in the preheated oven until tender and golden brown, about 1 hour.","3 pounds potatoes, peeled and cut into thick wedges, ⅓ cup olive oil, 2 lemons, juiced, 2 teaspoons salt, 1 teaspoon oregano, ½ teaspoon ground black pepper, 3 cups chicken broth",Greek-Style Lemon Roasted Potatoes,15 mins,4.5,1 hr 15 mins,https://www.allrecipes.com/recipe/239180/greek-style-lemon-roasted-potatoes/,"['potato', 'oil', 'lemon', 'salt', 'oregano', 'pepper', 'chicken']",non-veg,"['potato', 'oil', 'lemon', 'salt', 'oregano', 'pepper', 'chicken']"
188,20 mins,"1. Bring water and chicken broth to a boil. 2. Combine rice, curry powder, garlic powder, cinnamon, paprika, and cloves in a bowl; stir to mix. Add spiced rice and onion to the boiling broth. Cover and cook until rice is tender, 20 to 25 minutes.","¼ cup water, 1 (14.5 ounce) can chicken broth, 1 cup long grain rice, 1 teaspoon curry powder, ½ teaspoon garlic powder, ¼ teaspoon ground cinnamon, ⅛ teaspoon paprika, 2 pinches ground cloves, 1 small onion, coarsely chopped",Indian Rice Pilaf,10 mins,4.5,30 mins,https://www.allrecipes.com/recipe/222806/indian-rice-pilaf/,"['water', 'chicken', 'rice', 'curry', 'garlic', 'cinnamon', 'paprika', 'clove', 'onion']",non-veg,"['water', 'chicken', 'rice', 'curry', 'garlic', 'cinnamon', 'paprika', 'clove', 'onion']"
439,10 mins,"1. Melt butter in a medium saucepan over medium-low heat. Add cream and simmer for 5 minutes, then add garlic and cheese and whisk quickly, heating through. Stir in parsley and serve.","¼ cup butter, 1 cup heavy cream, 1 clove garlic, crushed, 1 ½ cups freshly grated Parmesan cheese, ¼ cup chopped fresh parsley",Alfredo Sauce,10 mins,4.5,20 mins,https://www.allrecipes.com/recipe/22831/alfredo-sauce/,"['butter', 'cream', 'clove', 'garlic', 'parmesan', 'cheese', 'parsley']",veg,"['butter', 'cream', 'clove', 'garlic', 'parmesan', 'cheese', 'parsley']"
254,4 hrs 30 mins,"1. Prick potatoes with a fork several times, then rub with olive oil and season with salt. Wrap tightly in foil and place into the slow cooker. 2. Cook until tender, on Low for 7 1/2 hours or on High for 4 1/2 to 5 hours.","4 baking potatoes, well scrubbed, 1 tablespoon extra virgin olive oil, kosher salt to taste, 4 sheets aluminum foil",Slow Cooker Baked Potatoes,10 mins,4.5,4 hrs 40 mins,https://www.allrecipes.com/recipe/215314/slow-cooker-baked-potatoes/,"['potato', 'oil', 'salt']",veg,"['potato', 'oil', 'salt']"
245,10 mins,"1. Combine zucchini, eggs, flour, Parmesan cheese, mozzarella cheese, onion, and salt in a medium bowl. Stir well enough to distribute ingredients evenly. 2. Heat oil in a skillet over medium-high heat. 3. Working in batches, scoop tablespoonfuls of zucchini mixture into hot oil and fry until golden brown, about 2 minutes per side.","2 cups grated zucchini, 2 eggs, beaten, ½ cup all-purpose flour, ½ cup grated Parmesan cheese, ½ cup shredded mozzarella cheese, ¼ cup chopped onion, salt to taste, 2 tablespoons vegetable oil",Zucchini Patties,20 mins,4.5,30 mins,https://www.allrecipes.com/recipe/13941/zucchini-patties/,"['zucchini', 'egg', 'flour', 'parmesan', 'cheese', 'mozzarella', 'cheese', 'onion', 'salt', 'oil']",non-veg,"['zucchini', 'egg', 'flour', 'parmesan', 'cheese', 'mozzarella', 'cheese', 'onion', 'salt', 'oil']"
