calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
160.0,,"1. Combine strawberries, milk, yogurt, sugar, and vanilla in a blender. Add ice and blend until smooth and creamy. 2. Pour into glasses and serve immediately.","8 strawberries, hulled, ½ cup skim milk, ½ cup plain yogurt, 3 tablespoons white sugar, 2 teaspoons vanilla extract, 6 cubes ice, crushed",B and L's Strawberry Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/20792/b-and-ls-strawberry-smoothie/,"['strawberry', 'milk', 'yogurt', 'sugar', 'vanilla', 'ice']",veg,"['strawberry', 'milk', 'yogurt', 'sugar', 'vanilla', 'ice']"
142.0,,"1. Blend soy milk, oats, strawberries, and banana in a blender until smooth. Add sugar and vanilla and blend again until smooth. 2. Pour into glasses and serve.","1 cup soy milk, ½ cup rolled oats, 14 frozen strawberries, 1 banana, broken into chunks, 1 ½ teaspoons white sugar (Optional), ½ teaspoon vanilla extract (Optional)",Strawberry Oatmeal Breakfast Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/23539/strawberry-oatmeal-breakfast-smoothie/,"['soy', 'milk', 'oat', 'strawberry', 'banana', 'sugar', 'vanilla']",veg,"['soy', 'milk', 'oat', 'strawberry', 'banana', 'sugar', 'vanilla']"
335.0,,"1. Place bananas, milk, peanut butter, honey, and ice cubes in a blender; blend until smooth, about 30 seconds.","2 bananas, broken into chunks, 2 cups milk, ½ cup peanut butter, 2 tablespoons honey, or to taste, 2 cups ice cubes",Peanut Butter Banana Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/221261/peanut-butter-banana-smoothie/,"['banana', 'milk', 'peanut', 'butter', 'honey', 'ice']",veg,"['banana', 'milk', 'peanut', 'butter', 'honey', 'ice']"
370.0,,"1. Place milk, avocado, yogurt, and honey into a blender; add ice cubes and blend until smooth.","1 cup milk, 1 ripe avocado, halved and pitted, ½ cup vanilla yogurt, 3 tablespoons honey, 8 ice cubes",Avocado Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/199931/avocado-smoothie/,"['milk', 'avocado', 'vanilla', 'yogurt', 'honey', 'ice']",veg,"['milk', 'avocado', 'vanilla', 'yogurt', 'honey', 'ice']"
135.0,,"1. Combine the banana, mango, yogurt, and juice in a blender; blend until nearly smooth.","1 banana, ½ cup frozen mango pieces, ⅓ cup plain yogurt, ½ cup orange-mango juice blend",Mango-Banana Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/161571/mango-banana-smoothie/,"['banana', 'mango', 'yogurt']",veg,"['banana', 'mango', 'yogurt']"
262.0,,"1. Peel the banana and cut into 1/2-inch chunks. Chill in freezer until solid, about 2 hours. 2. Place the almonds, oats, and flaxseed meal into a blender; pulse until finely ground. Add the frozen banana, frozen blueberries, yogurt, grape juice, and buttermilk; puree until smooth.","1 banana, 16 whole almonds, ¼ cup rolled oats, 1 tablespoon flaxseed meal, 1 cup frozen blueberries, 1 cup raspberry yogurt, ¼ cup Concord grape juice, 1 cup 1% buttermilk",Razzy Blue Smoothie,10 mins,4.5,2 hrs 10 mins,https://www.allrecipes.com/recipe/214936/razzy-blue-smoothie/,"['banana', 'almond', 'oat', 'blueberry', 'raspberry', 'yogurt', 'grape', 'buttermilk']",veg,"['banana', 'almond', 'oat', 'blueberry', 'raspberry', 'yogurt', 'grape', 'buttermilk']"
146.0,,"1. Combine strawberries, banana, yogurt, pineapple juice, sugar, orange juice, and milk in a blender; blend until smooth.","1 cup strawberries, 1 banana, ½ cup yogurt, ¼ cup pineapple juice, 1 ½ teaspoons white sugar, 1 teaspoon orange juice, 1 teaspoon milk",Fruit and Yogurt Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/215189/fruit-and-yogurt-smoothie/,"['strawberry', 'banana', 'yogurt', 'pineapple', 'sugar', 'orange', 'milk']",veg,"['strawberry', 'banana', 'yogurt', 'pineapple', 'sugar', 'orange', 'milk']"
371.0,,"1. Put coconut water, banana, avocado, kale, lemon juice, and cayenne pepper in blender; blend until smooth, about 30 seconds.","16 fluid ounces coconut water, chilled, 1 banana, ½ avocado, peeled and pitted, ½ cup packed kale, ⅛ lemon, juiced, 1 pinch cayenne pepper",Kale Banana Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/237136/kale-banana-smoothie/,"['coconut', 'water', 'banana', 'avocado', 'kale', 'lemon', 'cayenne', 'pepper']",veg,"['coconut', 'water', 'banana', 'avocado', 'kale', 'lemon', 'cayenne', 'pepper']"
321.0,,"1. Combine blueberries, banana, almond milk, and almond butter in a blender; blend until smooth, adding water for a thinner smoothie.","1 cup frozen blueberries, 1 banana, ½ cup almond milk, 1 tablespoon almond butter, water as needed",Almond Berry Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/246613/almond-berry-smoothie/,"['blueberry', 'banana', 'almond', 'milk', 'almond', 'butter', 'water']",veg,"['blueberry', 'banana', 'almond', 'milk', 'almond', 'butter', 'water']"
561.0,,"1. Blend ice cubes, milk, banana, protein powder, peanut butter, honey, and cocoa powder together in a blender until smooth.","6 ice cubes, 1 cup milk, 1 banana, 1 scoop chocolate-flavored protein powder, 2 tablespoons peanut butter, 1 tablespoon honey, 1 teaspoon unsweetened cocoa powder, or more to taste",Chocolate Banana Peanut Butter Protein Shake,10 mins,5.0,10 mins,https://www.allrecipes.com/recipe/244959/chocolate-banana-peanut-butter-protein-shake/,"['ice', 'milk', 'banana', 'peanut', 'butter', 'honey', 'cocoa']",veg,"['ice', 'milk', 'banana', 'peanut', 'butter', 'honey', 'cocoa']"
169.0,,"1. Blend coconut water, pineapple, celery, cucumber, lemon, parsley, and ginger together in a blender until smooth.","1 cup coconut water, or to taste, 1 cup chopped fresh pineapple, 1 stalk celery, ½ cucumber, peeled, ½ lemon, peeled, ⅓ bunch fresh parsley, 1 (1 inch) piece fresh ginger root",Pineapple Cleanser Smoothie,10 mins,5.0,10 mins,https://www.allrecipes.com/recipe/236413/pineapple-cleanser-smoothie/,"['coconut', 'water', 'pineapple', 'celery', 'cucumber', 'lemon', 'parsley', 'ginger']",veg,"['coconut', 'water', 'pineapple', 'celery', 'cucumber', 'lemon', 'parsley', 'ginger']"
211.0,,"1. Blend blueberries, yogurt, milk, sugar, vanilla, and nutmeg in a blender until frothy, scraping down the sides of the blender if needed. 2. Divide between 2 glasses and serve immediately.","1 cup blueberries (frozen or fresh), 1 (8 ounce) container plain yogurt, ¾ cup 2% reduced-fat milk, 2 tablespoons white sugar, ½ teaspoon vanilla extract, ⅛ teaspoon ground nutmeg",Blueberry Smoothie,5 mins,4.5,5 mins,https://www.allrecipes.com/recipe/215184/blueberry-smoothie/,"['blueberry', 'yogurt', 'milk', 'sugar', 'vanilla', 'nutmeg']",veg,"['blueberry', 'yogurt', 'milk', 'sugar', 'vanilla', 'nutmeg']"
118.0,,"1. Combine strawberries, peaches, and banana in a blender; blend until smooth. Add ice and pour in juice; blend again to desired consistency.","1 quart strawberries, hulled, 2 fresh peaches - peeled, pitted, and sliced, 1 banana, broken into chunks, 2 cups ice, 1 cup orange-peach-mango juice",Basic Fruit Smoothie,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/23553/basic-fruit-smoothie/,"['strawberry', 'peach', 'banana', 'ice']",veg,"['strawberry', 'peach', 'banana', 'ice']"
